City,State,Type,Population [2011],Popuation [2001],Rate For 10 Years(%),Rate for 1 Year(%),Rate for 1 Month(%),New Population for 2021,Population Estimated for 2021,Growth Rate till 2020,New Population till 2020,Population Estimated for 2020,Growth Rate till 2020,New Population till 2019,Population Estimated for 2019,Rate For Jan to Aug(%),New Population for 2020 Aug,Population Estimated for 2020 Till Aug
Visakhapatnam,Andhra Pradesh,MPUA,"17,28,128","9,82,904",75.81859469,7.581859469,0.631821622,1310242,3038370,68.23673522,1179218,2907346,60.65487575,1048193,2776321,5.054572976,87349,2863670
Pimpri-Chinchwad,Maharashtra,MPUA,"17,27,692","10,12,472",70.64096587,7.064096587,0.588674716,1220458,2948150,63.57686928,1098412,2826104,56.5127727,976366,2704058,4.709397728,81363,2785421
Patna,Bihar,MPUA,"16,84,222","13,66,444",23.25583778,2.325583778,0.193798648,391679,2075901,20.930254,352511,2036733,18.60467022,313343,1997565,1.550389184,26111,2023676
Vadodara,Gujarat,MPUA,"16,70,806","13,06,227",27.91084551,2.791084551,0.232590379,466336,2137142,25.11976096,419702,2090508,22.32867641,373068,2043874,1.860723032,31089,2074963
Ghaziabad,Uttar Pradesh,MPUA,"16,48,643","9,68,256",70.2693296,7.02693296,0.585577747,1158490,2807133,63.24239664,1042641,2691284,56.21546368,926792,2575435,4.684621976,77232,2652667
Ludhiana,Punjab,MPUA,"16,18,879","13,98,467",15.76097255,1.576097255,0.131341438,255151,1874030,14.1848753,229635,1848514,12.60877804,204120,1822999,1.050731504,17010,1840009
Agra,Uttar Pradesh,MPUA,"15,85,704","12,75,134",24.35587162,2.435587162,0.202965597,386212,1971916,21.92028446,347590,1933294,19.4846973,308969,1894673,1.623724776,25747,1920420
Nashik,Maharashtra,MPUA,"14,86,053","10,77,236",37.95055123,3.795055123,0.316254594,563965,2050018,34.15549611,507568,1993621,30.36044098,451172,1937225,2.530036752,37597,1974822
Ranchi,Jharkhand,MPUA,"14,56,528","10,79,968",34.86769978,3.486769978,0.290564165,507857,1964385,31.3809298,457072,1913600,27.89415982,406286,1862814,2.32451332,33857,1896671
Faridabad,Haryana,MPUA,"14,14,050","10,55,938",33.91411238,3.391411238,0.282617603,479562,1893612,30.52270114,431606,1845656,27.1312899,383650,1797700,2.260940824,31970,1829670
Meerut,Uttar Pradesh,MPUA,"13,05,429","10,39,405",25.59387342,2.559387342,0.213282279,334109,1639538,23.03448608,300698,1606127,20.47509874,267287,1572716,1.706258232,22273,1594989
Rajkot,Gujarat,MPUA,"12,86,678","9,67,476",32.99327322,3.299327322,0.274943944,424517,1711195,29.6939459,382065,1668743,26.39461858,339613,1626291,2.199551552,28301,1654592
Kalyan-Dombivli,Maharashtra,MPUA,"12,47,327","11,93,512",4.508961787,0.450896179,0.037574682,56241,1303568,4.058065611,50617,1297944,3.607169432,44993,1292320,0.300597456,3749,1296069
Vasai-Virar,Maharashtra,MPUA,"12,22,390","6,93,350",76.30201197,7.630201197,0.6358501,932708,2155098,68.67181077,839437,2061827,61.04160958,746166,1968556,5.0868008,62180,2030736
Varanasi,Uttar Pradesh,MPUA,"12,01,815","10,91,918",10.0645836,1.00645836,0.08387153,120957,1322772,9.05812524,108861,1310676,8.05166688,96766,1298581,0.67097224,8063,1306644
Srinagar,Jammu and Kashmir,MPUA,"11,80,570","8,98,440",31.40220827,3.140220827,0.261685069,370725,1551295,28.26198744,333652,1514222,25.12176662,296580,1477150,2.093480552,24715,1501865
Aurangabad,Maharashtra,MPUA,"11,75,116","8,73,311",34.55870818,3.455870818,0.287989235,406104,1581220,31.10283736,365494,1540610,27.64696654,324883,1499999,2.30391388,27073,1527072
Dhanbad,Jharkhand,MPUA,"11,62,472","10,65,327",9.118796388,0.911879639,0.07598997,106003,1268475,8.206916751,95403,1257875,7.295037112,84802,1247274,0.60791976,7066,1254340
Amritsar,Punjab,MPUA,"11,32,383","9,66,862",17.11940277,1.711940277,0.14266169,193857,1326240,15.40746249,174471,1306854,13.69552222,155085,1287468,1.14129352,12923,1300391
Navi Mumbai,Maharashtra,MPUA,"11,20,547","7,04,002",59.16815577,5.916815577,0.493067965,663006,1783553,53.25134019,596706,1717253,47.33452462,530405,1650952,3.94454372,44200,1695152
Allahabad,Uttar Pradesh,MPUA,"11,12,544","9,75,393",14.06110153,1.406110153,0.117175846,156435,1268979,12.65499138,140792,1253336,11.24888122,125148,1237692,0.937406768,10429,1248121
Howrah,West Bengal,MPUA,"10,77,075","10,07,532",6.902311788,0.690231179,0.057519265,74343,1151418,6.212080611,66908,1143983,5.521849432,59474,1136549,0.46015412,4956,1141505
Gwalior,Madhya Pradesh,MPUA,"10,69,276","8,27,026",29.29170304,2.929170304,0.244097525,313209,1382485,26.36253274,281888,1351164,23.43336243,250567,1319843,1.9527802,20880,1340723
Jabalpur,Madhya Pradesh,MPUA,"10,55,525","9,32,484",13.19497171,1.319497171,0.109958098,139276,1194801,11.87547454,125348,1180873,10.55597737,111420,1166945,0.879664784,9285,1176230
Coimbatore,Tamil Nadu,MPUA,"10,50,721","9,30,882",12.87370472,1.287370472,0.107280873,135266,1185987,11.58633425,121740,1172461,10.29896378,108213,1158934,0.858246984,9017,1167951
Vijayawada,Andhra Pradesh,MPUA,"10,34,358","8,51,282",21.50591696,2.150591696,0.179215975,222448,1256806,19.35532526,200203,1234561,17.20473357,177958,1212316,1.4337278,14829,1227145
Jodhpur,Rajasthan,MPUA,"10,33,918","8,51,051",21.48719642,2.148719642,0.17905997,222159,1256077,19.33847678,199943,1233861,17.18975714,177727,1211645,1.43247976,14810,1226455
Chandigarh,Chandigarh,MPUA,"10,28,667","8,08,515",27.22917942,2.722917942,0.226909829,280097,1308764,24.50626148,252087,1280754,21.78334354,224078,1252745,1.815278632,18673,1271418
Madurai,Tamil Nadu,MPUA,"10,24,345","9,28,869",10.27873683,1.027873683,0.08565614,105289,1129634,9.250863147,94760,1119105,8.222989464,84231,1108576,0.68524912,7019,1115595
Raipur,Chhattisgarh,MPUA,"10,17,206","6,05,747",67.92588325,6.792588325,0.566049027,690946,1708152,61.13329493,621851,1639057,54.3407066,552756,1569962,4.528392216,46063,1616025
Guwahati,Assam,C-1T,"10,17,030","8,09,895",25.57553757,2.557553757,0.21312948,260110,1277140,23.01798381,234099,1251129,20.46043006,208088,1225118,1.70503584,17340,1242458
Solapur,Maharashtra,C-1T,"10,00,461","8,72,478",14.66890856,1.466890856,0.122240905,146756,1147217,13.2020177,132081,1132542,11.73512685,117405,1117866,0.97792724,9783,1127649
Hubli–Dharwad,Karnataka,C-1T,"9,84,562","7,86,195",25.23127214,2.523127214,0.210260601,248417,1232979,22.70814493,223575,1208137,20.18501771,198734,1183296,1.682084808,16561,1199857
Mysore,Karnataka,C-1T,"9,56,458","7,62,408",25.45225129,2.545225129,0.212102094,243440,1199898,22.90702616,219096,1175554,20.36180103,194752,1151210,1.696816752,16229,1167439
Tiruchirappalli,Tamil Nadu,C-1T,"9,14,672","7,52,066",21.62124069,2.162124069,0.180177006,197763,1112435,19.45911662,177987,1092659,17.29699255,158210,1072882,1.441416048,13184,1086066
Bareilly,Uttar Pradesh,C-1T,"9,02,348","7,18,395",25.60610806,2.560610806,0.213384234,231056,1133404,23.04549725,207950,1110298,20.48488645,184844,1087192,1.707073872,15403,1102595
Aurangabad,Maharashtra,MCl,"8,92,483","7,66,542",16.42975858,1.642975858,0.136914655,146632,1039115,14.78678272,131969,1024452,13.14380686,117306,1009789,1.09531724,9775,1019564
Aligarh,Uttar Pradesh,C-1T,"8,89,810","6,72,315",32.35016324,3.235016324,0.269584694,287854,1177664,29.11514692,259069,1148879,25.88013059,230283,1120093,2.156677552,19190,1139283
Tiruppur,Tamil Nadu,C-1T,"8,77,778","3,44,543",154.7658783,15.47658783,1.289715653,1358500,2236278,139.2892905,1222650,2100428,123.8127026,1086800,1964578,10.31772522,90566,2055144
Gurgaon,Haryana,C-1T,"8,76,824","1,73,542",405.2517546,40.52517546,3.377097955,3553344,4430168,364.7265791,3198010,4074834,324.2014037,2842675,3719499,27.01678364,236889,3956388
Moradabad,Uttar Pradesh,C-1T,"8,72,575","6,69,087",30.41278638,3.041278638,0.253439887,265374,1137949,27.37150774,238836,1111411,24.3302291,212299,1084874,2.027519096,17691,1102565
Jalandhar,Punjab,C-1T,"8,62,196","7,06,043",22.11664162,2.211664162,0.184305347,190688,1052884,19.90497746,171619,1033815,17.6933133,152551,1014747,1.474442776,12712,1027459
Bhubaneswar,Odisha,C-1T,"8,37,737","6,48,032",29.27401733,2.927401733,0.243950144,245239,1082976,26.3466156,220715,1058452,23.41921386,196191,1033928,1.951601152,16349,1050277
Salem,Tamil Nadu,C-1T,"8,31,038","6,96,760",19.2717722,1.92717722,0.160598102,160155,991193,17.34459498,144140,975178,15.41741776,128124,959162,1.284784816,10677,969839
Warangal,Telangana,C-1T,"8,30,281","5,30,636",56.46902962,5.646902962,0.470575247,468851,1299132,50.82212666,421966,1252247,45.1752237,375081,1205362,3.764601976,31256,1236618
Mira-Bhayandar,Maharashtra,C-1T,"8,14,655","5,20,388",56.54761447,5.654761447,0.471230121,460667,1275322,50.89285302,414601,1229256,45.23809158,368534,1183189,3.769840968,30711,1213900
Jalgaon,Maharashtra,C-1T,"7,98,514","4,62,280",72.73384096,7.273384096,0.606115341,580789,1379303,65.46045686,522710,1321224,58.18707277,464631,1263145,4.848922728,38719,1301864
Kota,Rajasthan,C-1T,"7,43,556","5,94,316",25.11122029,2.511122029,0.209260169,186715,930271,22.60009826,168044,911600,20.08897623,149372,892928,1.674081352,12447,905375
Guntur,Andhra Pradesh,C-1T,"7,43,354","5,14,461",44.49180793,4.449180793,0.370765066,330731,1074085,40.04262714,297658,1041012,35.59344634,264585,1007939,2.966120528,22048,1029987
Bhiwandi,Maharashtra,C-1T,"7,11,329","5,98,741",18.80412399,1.880412399,0.156701033,133759,845088,16.92371159,120383,831712,15.04329919,107007,818336,1.253608264,8917,827253
Saharanpur,Uttar Pradesh,C-1T,"7,03,345","4,55,754",54.32557915,5.432557915,0.45271316,382096,1085441,48.89302124,343886,1047231,43.46046332,305676,1009021,3.62170528,25473,1034494
Gorakhpur,Uttar Pradesh,C-1T,"6,71,048","6,22,701",7.76407939,0.776407939,0.064700662,52100,723148,6.987671451,46890,717938,6.211263512,41680,712728,0.517605296,3473,716201
Bikaner,Rajasthan,C-1T,"6,47,804","5,29,690",22.29870301,2.229870301,0.185822525,144451,792255,20.06883271,130006,777810,17.83896241,115561,763365,1.4865802,9630,772995
Amravati,Maharashtra,C-1T,"6,46,801","5,49,510",17.70504631,1.770504631,0.147542053,114516,761317,15.93454168,103064,749865,14.16403705,91613,738414,1.180336424,7634,746048
Noida,Uttar Pradesh,C-1T,"6,42,381","3,05,058",110.5766772,11.05766772,0.92147231,710323,1352704,99.51900948,639291,1281672,88.46134176,568258,1210639,7.37177848,47354,1257993
Jamshedpur,Jharkhand,C-1T,"6,31,364","5,73,096",10.16723202,1.016723202,0.084726934,64192,695556,9.150508818,57773,689137,8.133785616,51353,682717,0.677815472,4279,686996
Bhilai,Chhattisgarh,C-1T,"6,25,697","5,56,366",12.46140131,1.246140131,0.103845011,77970,703667,11.21526118,70173,695870,9.969121048,62376,688073,0.830760088,5198,693271
Cuttack,Odisha,C-1T,"6,06,007","5,34,654",13.34564036,1.334564036,0.11121367,80875,686882,12.01107632,72787,678794,10.67651229,64700,670707,0.88970936,5391,676098
Firozabad,Uttar Pradesh,C-1T,"6,03,797","2,79,102",116.3356049,11.63356049,0.969463374,702430,1306227,104.7020444,632187,1235984,93.06848392,561944,1165741,7.755706992,46828,1212569
Kochi,Kerala,C-1T,"6,01,574","5,96,473",0.855193781,0.085519378,0.007126615,5144,606718,0.769674402,4630,606204,0.684155024,4115,605689,0.05701292,342,606031
Nellore,Andhra Pradesh,C-1T,"6,00,869","3,78,428",58.78026996,5.878026996,0.489835583,353192,954061,52.90224296,317873,918742,47.02421597,282553,883422,3.918684664,23546,906968
Bhavnagar,Gujarat,C-1T,"5,93,768","5,11,085",16.17793518,1.617793518,0.134816127,96059,689827,14.56014166,86453,680221,12.94234814,76847,670615,1.078529016,6403,677018
Dehradun,Uttarakhand,C-1T,"5,78,420","4,26,674",35.56485748,3.556485748,0.296373812,205714,784134,32.00837173,185142,763562,28.45188598,164571,742991,2.370990496,13714,756705
Durgapur,West Bengal,C-1T,"5,66,937","4,93,405",14.90297018,1.490297018,0.124191418,84490,651427,13.41267316,76041,642978,11.92237614,67592,634529,0.993531344,5632,640161
Asansol,West Bengal,C-1T,"5,64,491","4,75,439",18.73047857,1.873047857,0.156087321,105731,670222,16.85743071,95158,659649,14.98438286,84585,649076,1.248698568,7048,656124
Rourkela,Odisha,C-1T,"5,52,734","4,26,354",29.64203455,2.964203455,0.247016955,163841,716575,26.6778311,147457,700191,23.71362764,131073,683807,1.97613564,10922,694729
Nanded,Maharashtra,C-1T,"5,50,564","4,30,733",27.8202506,2.78202506,0.231835422,153168,703732,25.03822554,137851,688415,22.25620048,122534,673098,1.854683376,10211,683309
Kolhapur,Maharashtra,C-1T,"5,49,283","4,93,167",11.37870133,1.137870133,0.094822511,62501,611784,10.2408312,56251,605534,9.102961064,50001,599284,0.758580088,4166,603450
Ajmer,Rajasthan,C-1T,"5,42,580","4,85,575",11.73969006,1.173969006,0.097830751,63697,606277,10.56572105,57327,599907,9.391752048,50957,593537,0.782646008,4246,597783
Akola,Maharashtra,C-1T,"5,37,149","4,00,520",34.11290323,3.411290323,0.284274194,183237,720386,30.70161291,164913,702062,27.29032258,146589,683738,2.274193552,12215,695953
Gulbarga,Karnataka,C-1T,"5,32,031","4,22,569",25.90393522,2.590393522,0.215866127,137816,669847,23.3135417,124035,656066,20.72314818,110253,642284,1.726929016,9187,651471
Jamnagar,Gujarat,C-1T,"5,29,308","4,43,518",19.34307063,1.934307063,0.161192255,102384,631692,17.40876357,92145,621453,15.4744565,81907,611215,1.28953804,6825,618040
Ujjain,Madhya Pradesh,C-1T,"5,15,215","4,30,427",19.69857839,1.969857839,0.16415482,101490,616705,17.72872055,91341,606556,15.75886271,81192,596407,1.31323856,6766,603173
Loni,Uttar Pradesh,C-1T,"5,12,296","1,20,945",323.5776593,32.35776593,2.696480494,1657675,2169971,291.2198934,1491907,2004203,258.8621274,1326140,1838436,21.57184395,110511,1948947
Siliguri,West Bengal,C-1T,"5,09,709","4,72,374",7.903694954,0.790369495,0.065864125,40285,549994,7.113325455,36257,545966,6.32295596,32228,541937,0.526913,2685,544622
Jhansi,Uttar Pradesh,C-1T,"5,07,293","3,83,644",32.23014044,3.223014044,0.268584504,163501,670794,29.0071264,147151,654444,25.78411235,130800,638093,2.148676032,10900,648993
Ulhasnagar,Maharashtra,C-1T,"5,06,937","4,73,731",7.009463176,0.700946318,0.058412193,35533,542470,6.308516862,31980,538917,5.607570544,28426,535363,0.467297544,2368,537731
Jammu,Jammu and Kashmir,C-1T,"5,03,690","3,69,959",36.14751905,3.614751905,0.301229325,182071,685761,32.53276715,163864,667554,28.91801524,145657,649347,2.4098346,12138,661485
Sangli-Miraj & Kupwad,Maharashtra,C-1T,"5,02,697","4,36,781",15.09131579,1.509131579,0.125760965,75863,578560,13.58218421,68277,570974,12.07305263,60690,563387,1.00608772,5057,568444
Mangalore,Karnataka,C-1T,"4,99,486","3,99,565",25.0074456,2.50074456,0.20839538,124908,624394,22.50670104,112417,611903,20.00595648,99926,599412,1.66716304,8327,607739
Erode,Tamil Nadu,C-1T,"4,98,129","1,73,600",186.9406682,18.69406682,1.557838902,931205,1429334,168.2466014,838085,1336214,149.5525346,744964,1243093,12.46271122,62080,1305173
Belgaum,Karnataka,C-1T,"4,88,292","3,99,653",22.17899027,2.217899027,0.184824919,108298,596590,19.96109124,97468,585760,17.74319222,86638,574930,1.478599352,7219,582149
Ambattur,Tamil Nadu,C-1T,"4,78,134","3,10,967",53.75715108,5.375715108,0.447976259,257031,735165,48.38143597,231328,709462,43.00572086,205624,683758,3.583810072,17135,700893
Tirunelveli,Tamil Nadu,C-1T,"4,73,637","4,11,831",15.00761235,1.500761235,0.125063436,71081,544718,13.50685112,63973,537610,12.00608988,56865,530502,1.000507488,4738,535240
Malegaon,Maharashtra,C-1T,"4,71,006","4,09,403",15.0470319,1.50470319,0.125391933,70872,541878,13.54232871,63785,534791,12.03762552,56697,527703,1.003135464,4724,532427
Gaya,Bihar,C-1T,"4,63,454","3,85,432",20.24274061,2.024274061,0.168689505,93815,557269,18.21846655,84434,547888,16.19419249,75052,538506,1.34951604,6254,544760
Thiruvananthapuram,Kerala,C-1T,"4,60,468","3,68,618",24.91739416,2.491739416,0.207644951,114736,575204,22.42565474,103262,563730,19.93391533,91789,552257,1.661159608,7649,559906
Udaipur,Rajasthan,C-1T,"4,51,735","3,89,438",15.99664131,1.599664131,0.133305344,72262,523997,14.39697718,65036,516771,12.79731305,57809,509544,1.066442752,4817,514361
Kakinada,Andhra Pradesh,C-1T,"4,43,028","3,25,985",35.90441278,3.590441278,0.29920344,159066,602094,32.3139715,143159,586187,28.72353022,127253,570281,2.39362752,10604,580885
Davanagere,Karnataka,C-1T,"4,35,128","3,64,523",19.36914817,1.936914817,0.161409568,84280,519408,17.43223335,75852,510980,15.49531854,67424,502552,1.291276544,5618,508170
Kozhikode,Kerala,C-1T,"4,32,097","4,36,556",-1.021403898,-0.10214039,-0.008511699,-4413,427683,-0.91926351,-3972,428124,-0.81712312,-3530,428567,-0.068093592,-294,428273
Maheshtala,West Bengal,C-1T,"4,29,423","3,85,266",11.46143184,1.146143184,0.095511932,49218,478641,10.31528866,44296,473719,9.169145472,39374,468797,0.764095456,3281,472078
Rajpur Sonarpur,West Bengal,C-1T,"4,23,806","3,36,707",25.86789107,2.586789107,0.215565759,109629,533435,23.28110196,98666,522472,20.69431286,87703,511509,1.724526072,7308,518817
Rajahmundry,Andhra Pradesh,C-1T,"4,19,818","3,15,251",33.16944276,3.316944276,0.276412023,139251,559069,29.85249848,125326,545144,26.53555421,111401,531219,2.211296184,9283,540502
Bokaro,Jharkhand,C-1T,"4,13,934","3,93,805",5.111413009,0.511141301,0.042595108,21157,435091,4.600271709,19042,432976,4.089130408,16926,430860,0.340760864,1410,432270
South Dumdum,West Bengal,C-1T,"4,10,524","3,92,444",4.607026735,0.460702674,0.03839189,18912,429436,4.146324066,17021,427545,3.685621392,15130,425654,0.30713512,1260,426914
Bellary,Karnataka,C-1T,"4,09,644","3,16,766",29.3206973,2.93206973,0.244339144,120110,529754,26.38862757,108099,517743,23.45655784,96088,505732,1.954713152,8007,513739
Patiala,Punjab,C-1T,"4,05,164","3,03,151",33.65088685,3.365088685,0.280424057,136341,541505,30.28579817,122707,527871,26.92070948,109073,514237,2.243392456,9089,523326
Gopalpur,West Bengal,C-1T,"4,04,991","2,71,811",48.9972812,4.89972812,0.408310677,198434,603425,44.09755308,178591,583582,39.19782496,158747,563738,3.266485416,13228,576966
Agartala,Tripura,C-1T,"3,99,688","2,71,811",47.0462932,4.70462932,0.392052443,188038,587726,42.34166388,169234,568922,37.63703456,150430,550118,3.136419544,12535,562653
Bhagalpur,Bihar,C-1T,"3,98,138","3,40,767",16.83584385,1.683584385,0.140298699,67029,465167,15.15225947,60326,458464,13.46867508,53623,451761,1.122389592,4468,456229
Muzaffarnagar,Uttar Pradesh,C-1T,"3,92,451","3,16,729",23.90750452,2.390750452,0.199229204,93825,486276,21.51675407,84442,476893,19.12600362,75060,467511,1.593833632,6255,473766
Bhatpara,West Bengal,C-1T,"3,90,467","4,42,385",-11.73593137,-1.173593137,-0.097799428,-45824,344642,-10.56233823,-41242,349224,-9.388745096,-36659,353808,-0.782395424,-3054,350754
Panihati,West Bengal,C-1T,"3,83,522","3,48,438",10.06893622,1.006893622,0.083907802,38616,422138,9.062042598,34754,418276,8.055148976,30893,414415,0.671262416,2574,416989
Latur,Maharashtra,C-1T,"3,82,754","2,99,985",27.59104622,2.759104622,0.229925385,105605,488359,24.8319416,95045,477799,22.07283698,84484,467238,1.83940308,7040,474278
Dhule,Maharashtra,C-1T,"3,76,093","3,41,755",10.04754868,1.004754868,0.083729572,37788,413881,9.042793812,34009,410102,8.038038944,30230,406323,0.669836576,2519,408842
Tirupati,Andhra Pradesh,C-1T,"3,74,260","2,28,202",64.00382118,6.400382118,0.533365177,239540,613800,57.60343906,215586,589846,51.20305694,191632,565892,4.266921416,15969,581861
Rohtak,Haryana,C-1T,"3,73,133","2,86,807",30.09898643,3.009898643,0.250824887,112309,485442,27.08908779,101078,474211,24.07918914,89847,462980,2.006599096,7487,470467
Sagar,Madhya Pradesh,C-1T,"3,70,296","2,32,133",59.51889649,5.951889649,0.495990804,220396,590692,53.56700684,198356,568652,47.61511719,176316,546612,3.967926432,14693,561305
Korba,Chhattisgarh,C-1T,"3,63,210","3,15,690",15.05274161,1.505274161,0.125439513,54673,417883,13.54746745,49205,412415,12.04219329,43738,406948,1.003516104,3644,410592
Bhilwara,Rajasthan,C-1T,"3,60,009","2,80,128",28.51589273,2.851589273,0.237632439,102659,462668,25.66430346,92393,452402,22.81271418,82127,442136,1.901059512,6843,448979
Berhampur,Odisha,C-1T,"3,55,823","3,07,792",15.60501897,1.560501897,0.130041825,55526,411349,14.04451707,49973,405796,12.48401518,44420,400243,1.0403346,3701,403944
Muzaffarpur,Bihar,C-1T,"3,51,838","3,05,525",15.15849767,1.515849767,0.126320814,53333,405171,13.6426479,48000,399838,12.12679814,42666,394504,1.010566512,3555,398059
Ahmednagar,Maharashtra,C-1T,"3,50,905","3,07,615",14.07278579,1.407278579,0.117273215,49382,400287,12.66550721,44443,395348,11.25822863,39505,390410,0.93818572,3292,393702
Mathura,Uttar Pradesh,C-1T,"3,49,336","3,02,770",15.37999141,1.537999141,0.128166595,53727,403063,13.84199227,48355,397691,12.30399313,42982,392318,1.02533276,3581,395899
Kollam,Kerala,C-1T,"3,49,033","3,61,560",-3.464708485,-0.346470849,-0.028872571,-12092,336940,-3.118237641,-10883,338149,-2.771766792,-9674,339359,-0.230980568,-806,338553
Avadi,Tamil Nadu,C-1T,"3,44,701","2,29,403",50.26002275,5.026002275,0.418833523,173246,517947,45.23402048,155922,500623,40.2080182,138597,483298,3.350668184,11549,494847
Kadapa,Andhra Pradesh,C-1T,"3,43,054","1,25,725",172.8606085,17.28606085,1.440505071,593005,936059,155.5745477,533704,876758,138.2884868,474404,817458,11.52404057,39533,856991
Kamarhati,West Bengal,C-1T,"3,36,579","3,14,507",7.017967804,0.70179678,0.058483065,23621,360200,6.31617102,21258,357837,5.61437424,18896,355475,0.46786452,1574,357049
Sambalpur,Odisha,C-1T,"3,35,761","2,96,662",13.17964552,1.317964552,0.109830379,44252,380013,11.86168097,39826,375587,10.54371642,35401,371162,0.878643032,2950,374112
Bilaspur,Chhattisgarh,C-1T,"3,30,106","2,74,917",20.07478621,2.007478621,0.167289885,66268,396374,18.06730759,59641,389747,16.05982897,53014,383120,1.33831908,4417,387537
Shahjahanpur,Uttar Pradesh,C-1T,"3,27,975","2,96,662",10.55510986,1.055510986,0.087959249,34618,362593,9.499598874,31156,359131,8.444087888,27694,355669,0.703673992,2307,357976
Satara,Maharashtra,C-1T,"3,26,789","2,28,175",43.21858223,4.321858223,0.360154852,141233,468022,38.89672401,127110,453899,34.57486578,112986,439775,2.881238816,9415,449190
Bijapur,Karnataka,C-1T,"3,26,360","2,28,175",43.03056864,4.303056864,0.358588072,140434,466794,38.72751178,126391,452751,34.42445491,112347,438707,2.868704576,9362,448069
Kurnool,Andhra Pradesh,C-1T,"3,25,300","2,69,122",20.8745476,2.08745476,0.173954563,67904,393204,18.78709284,61114,386414,16.69963808,54323,379623,1.391636504,4526,384149
Rampur,Uttar Pradesh,C-1T,"3,25,248","2,81,494",15.54349293,1.554349293,0.129529108,50554,375802,13.98914364,45499,370747,12.43479434,40443,365691,1.036232864,3370,369061
